Name;ReportFile
M1 bracken;MURI_2_Ax-APL000002433_S13_L004_001.krakendb-2016-01-13_all_bracken.report
M1 kraken;MURI_2_Ax-APL000002433_S13_L004_001.krakendb-2016-01-13_all.report
M2 bracken;MURI_2_Ax-APL000002433_S13_L005_001.krakendb-2016-01-13_all_bracken.report
M2 kraken;MURI_2_Ax-APL000002433_S13_L005_001.krakendb-2016-01-13_all.report
M3 bracken;MURI_2_Ax-APL000002433_S13_L006_001.krakendb-2016-01-13_all_bracken.report
M3 kraken;MURI_2_Ax-APL000002433_S13_L006_001.krakendb-2016-01-13_all.report
M4 bracken;MURI_2_Ax-APL000002433_S13_L007_001.krakendb-2016-01-13_all_bracken.report
M4 kraken;MURI_2_Ax-APL000002433_S13_L007_001.krakendb-2016-01-13_all.report
M5 bracken;MURI_2_Ax-APL000002433_S13_L008_001.krakendb-2016-01-13_all_bracken.report
M5 bracken;MURI_2_Ax-APL000002433_S13_L008_001.krakendb-2016-01-13_all.report
